ID,Latitude,Longitude
1,37.594806,108.799289
2,37.594806,108.799289
3,35.654914,109.361464
4,35.654914,109.361464
5,35.667341,115.024919
6,35.667341,115.024919
7,35.667341,115.024919
8,35.667341,115.024919
9,37.191908,116.842939
10,37.191908,116.842939
11,37.215827,116.756958
12,37.215827,116.756958
13,38.979722,117.689722
14,38.979722,117.689722
15,33.000217,117.332841
16,33.000217,117.332841
17,32.257413,119.087943
18,32.257413,119.087943
19,37.356886,94.148714
20,37.356886,94.148714
21,37.371534,97.37123
22,37.371534,97.37123
23,36.957275,100.897018
24,36.957275,100.897018
25,36.623274,101.77038
26,36.623274,101.77038
27,37.594806,108.799289
28,37.594806,108.799289
29,38.651719,117.942009
30,38.651719,117.942009
31,37.594806,108.799289
32,37.594806,108.799289
33,39.162544,111.060378
34,39.162544,111.060378
35,39.568166,113.027211
36,39.568166,113.027211
37,39.489282,115.985432
38,39.489282,115.985432
39,30.286357,108.015634
40,30.286357,108.015634
41,31.062986,109.537859
42,31.062986,109.537859
43,31.014226,110.691128
44,31.014226,110.691128
45,30.707692,111.304013
46,30.707692,111.304013
47,30.376665,112.178636
48,30.376665,112.178636
49,38.069961,109.035447
50,38.069961,109.035447
51,30.403803,112.881619
52,30.403803,112.881619
53,33.728294,114.881546
54,33.728294,114.881546
55,37.594806,108.799289
56,37.594806,108.799289
57,36.495221,116.676281
58,36.495221,116.676281
59,37.685009,120.336403
60,37.685009,120.336403
61,38.276944,111.670833
62,38.276944,111.670833
63,38.156344,112.710967
64,38.156344,112.710967
65,38.32418,109.684897
66,38.32418,109.684897
67,37.594806,108.799289
68,37.594806,108.799289
69,37.594806,108.799289
70,37.594806,108.799289
71,38.212303,119.739256
72,38.212303,119.739256
73,41.775472,123.425475
74,41.775472,123.425475
75,45.814849,125.777792
76,45.814849,125.777792
77,45.454725,126.588596
78,45.454725,126.588596
79,36.013277,103.889595
80,36.013277,103.889595
81,49.144365,87.609885
82,49.144365,87.609885
83,25.565999,103.191916
84,25.565999,103.191916
85,19.391458,93.485003
86,19.391458,93.485003
87,24.371751,98.435189
88,24.371751,98.435189
89,38.455833,111.127222
90,38.455833,111.127222
91,37.594806,108.799289
92,37.594806,108.799289
93,31.539008,107.794385
94,31.539008,107.794385
95,31.256528,107.752609
96,31.256528,107.752609
97,37.406265,104.633936
98,37.406265,104.633936
